fold_num,dropout_rate,weight_decay,lambda,last_val_metric,best_val_metric,test_loglik,test_auc,test_mse
0,0.0,0.0001,0,0.5,-0.7955287682467327,0.9601251916349048,0.5,0.4937170187013036
0,0.0,0.0001,1,0.7475908974959166,0.761868537346551,0.0,0.762054065547855,0.0
0,0.1,0.0001,0,0.5,-0.8796941627472421,0.9406096409184272,0.5,0.5846958939648809
0,0.1,0.0001,1,0.7493636328826453,0.7531199267447006,0.0,0.7665235822768679,0.0
0,0.5,0.0001,0,0.5,-1.0370805694254146,1.0637536624751835,0.5,0.7440414421089926
0,0.5,0.0001,1,0.7695208013248743,0.783617258848851,0.0,0.7749887013318674,0.0
0,0.2,0.0001,0,0.5,-0.9030287950075094,0.9872966115141996,0.5,0.6075198354807758
0,0.2,0.0001,1,0.7903064581065445,0.7930420783675038,0.0,0.7535525523752358,0.0
0,0.3,0.0001,0,0.5,-0.9408222749569632,0.9969152843615188,0.5,0.6492259972770187
0,0.3,0.0001,1,0.77268604663201,0.7750183163569572,0.0,0.7603008467190778,0.0
